,symbol,price,market_cap,watchlist
0,BTC,57796.84683213037,1091364449862.6528,2851294.0
1,ETH,4295.5354787860615,508940618321.9156,2287938.0
2,BNB,611.6064069307628,102016650800.20639,1241848.0
3,USDT,1.000373179299862,72577117876.15477,510325.0
4,SOL,205.19433923576443,62361289109.89673,979412.0
5,ADA,1.6273208159330323,54211340150.65537,1836533.0
6,XRP,1.0336310629377923,48744981373.61629,1435463.0
7,DOT,38.77104288868592,38289479976.1802,1050707.0
8,USDC,0.9998045229617379,37233852578.80224,121386.0
9,DOGE,0.2170521770792233,28708065636.690586,1379815.0
10,AVAX,123.73379892313025,27697630518.168602,470115.0
11,CRO,0.8692485962739992,21959839189.42182,466071.0
12,SHIB,3.9002037743805e-05,21414300991.81126,1874719.0
13,LUNA,40.044823226143365,15955126531.304476,389094.0
14,LTC,216.1745558374551,14926733070.759556,683543.0
15,WBTC,57145.31489369045,14239349077.21117,45639.0
16,UNI,20.82301280388589,13073882237.068,464877.0
17,BUSD,1.000083468258152,12898409669.62298,110342.0
18,MATIC,1.771635878909944,12342425494.71978,807792.0
19,LINK,26.24141215656208,12254990185.400368,800758.0
20,BCH,614.0284922826573,11611344029.592356,327227.0
21,ALGO,1.7590503797140835,11014344035.30732,419547.0
22,MANA,5.659108932272682,10325735421.48838,531850.0
23,EGLD,443.6687612046249,8776632667.729671,393833.0
24,AXS,138.2191096233767,8418580419.385817,340892.0
25,XLM,0.3309609858184766,8049923235.109199,723309.0
26,VET,0.12258034838893499,7883825834.14699,886862.0
27,ICP,41.51129365016951,7583246307.646628,279838.0
28,SAND,8.15612581186377,7277271603.532619,562656.0
29,UST,1.001995341260246,7235383372.986821,20894.0
30,THETA,7.128599518340814,7128599518.340815,364908.0
31,FTT,50.667894568663726,7072795478.408947,172026.0
32,TRX,0.09845275878607783,7055090961.691384,675464.0
33,ATOM,30.012548066776066,6756799728.035283,410517.0
34,DAI,1.0014110122445181,6484087949.78598,3424.0
35,FIL,50.206508887863116,6422229346.657298,224377.0
36,FTM,2.518771918260916,6410290332.230274,412184.0
37,ETC,48.36215833618415,6345743185.960366,286884.0
38,HBAR,0.34886611745718654,6311962245.921094,312578.0
39,BTCB,57553.23621491168,6049410198.478898,18605.0
40,NEAR,9.28390173137691,5237661026.459159,143722.0
41,GALA,0.7386430097179866,5153664022.667737,184513.0
42,HNT,45.22284321473643,4644691956.513349,201080.0
43,LRC,3.3766089048898396,4485060609.140396,185760.0
44,XMR,243.59483351080118,4393299193.660094,271820.0
45,MIOTA,1.5552396887781341,4322835812.282319,307402.0
46,FLOW,13.734405832957263,4300224062.195103,113259.0
47,XTZ,4.905400541737785,4259061184.3980856,331608.0
48,GRT,0.8707856189237404,4106394394.8124685,248287.0
49,EOS,4.150359999681686,4034903340.978549,374821.0
50,ENJ,4.680192089480208,3924826328.3819447,422305.0
51,KLAY,1.4633909140415373,3696620460.109374,59719.0
52,ZEC,273.45362534761523,3599210289.506579,166239.0
53,CAKE,14.140245916992267,3448291329.334153,439074.0
54,AAVE,255.06767132546386,3415922173.255362,268477.0
55,ONE,0.30742377830231754,3322008706.7926016,351318.0
56,MKR,3268.3983739066234,3235883110.0392475,138655.0
57,LEO,3.2471822086373323,3097662878.7921047,31917.0
58,RUNE,11.922715407641206,3078566910.4852247,173752.0
59,CHZ,0.5150396425670775,3065386869.477069,419046.0
60,XEC,0.0001568375487812112,2965208679.12637,125944.0
61,BSV,156.80398571534332,2964600113.376714,80835.0
62,KSM,331.8430489765142,2810743164.451891,204146.0
63,NEO,39.65804764359577,2797432320.52155,258729.0
64,QNT,229.97074190057336,2776376514.631244,145976.0
65,KDA,16.780106730664485,2651572516.456586,164055.0
66,CRV,5.9806452055648665,2564167856.9936585,129396.0
67,STX,1.9848366253507586,2552197704.482303,103786.0
68,AMP,0.059419821811283316,2509162539.392059,161329.0
69,HOT,0.013503609682634253,2336625653.5460143,324068.0
70,WAVES,20.168987926457543,2153806689.450065,133958.0
71,DASH,204.0650532912454,2131519343.4153283,222073.0
72,BTT,0.0032233647137862257,2127268004.1955934,500230.0
73,AR,59.983310684073025,2003124725.2847242,107865.0
74,KCS,24.19779062017896,1938694027.0979135,128005.0
75,BAT,1.249511766655907,1864901046.6929948,265010.0
76,CELO,5.275827692329577,1832283129.140376,133774.0
77,TFUEL,0.32512294080727544,1723546415.577876,125095.0
78,WAXP,0.9270089365236179,1714371989.76982,108405.0
79,IOTX,0.17972438559766665,1714710702.184155,221432.0
80,IMX,9.096741514167114,1711649869.603167,73966.0
81,COMP,281.3452546785821,1693387619.6051216,181081.0
82,MINA,5.246993660389891,1590038290.867128,163032.0
83,HT,9.83855386985768,1567365911.0238247,83691.0
84,QTUM,15.653906267044517,1548025806.8097632,140831.0
85,XEM,0.17038971989637175,1533507478.896956,173574.0
86,NEXO,2.7253561790075267,1526199490.2231328,92319.0
87,OKB,24.29158762877422,1457495257.7264533,50858.0
88,DCR,105.86962416525303,1432258621.5239232,50377.0
89,ZEN,121.38988685908615,1429401576.0450041,68731.0
90,ICX,1.9698177308619154,1331775425.0830472,135445.0
91,VGX,4.731865894034645,1317740491.400526,63458.0
92,XDC,0.106770328939093,1313810253.4452538,93373.0
93,AUDIO,2.592967577316538,1307060420.4311807,143192.0
94,BORA,1.516984424762778,1306502835.8269424,11181.0
95,ROSE,0.36915758999235854,1289472743.115155,111187.0
96,TUSD,1.0001628133500982,1281267226.1321785,21343.0
97,OMG,8.70109864207096,1220289044.2274258,163512.0
98,YFI,31141.451118977588,1140951804.6664696,144685.0
