Date,Open,High,Low,Close,Adj Close,Volume
2021-03-29,398.399170,562.115295,398.399170,552.177246,552.177246,1257456904
2021-04-05,551.589355,555.398743,435.656128,461.154694,461.154694,1641267435
2021-04-12,460.124603,611.998108,428.098175,486.586029,486.586029,2758870626
2021-04-19,487.086731,659.873901,424.225677,551.252136,551.252136,4479842365
2021-04-26,553.085632,878.139221,550.490662,806.835632,806.835632,2579265778
2021-05-03,805.139099,840.457153,693.359375,770.506226,770.506226,2134186860
2021-05-10,770.001465,911.197815,632.486389,685.228088,685.228088,3129058232
2021-05-17,684.335266,726.903076,268.356720,342.959351,342.959351,3163517980
2021-05-24,340.704285,464.762909,330.522980,406.111542,406.111542,1756103213
2021-05-31,405.720154,459.629547,377.770203,388.734344,388.734344,1098790618
2021-06-07,388.563477,412.281158,279.536591,324.605316,324.605316,1099867912
2021-06-14,323.806458,352.595245,260.374115,293.622894,293.622894,767307648
2021-06-21,292.953491,295.807434,197.524170,257.156860,257.156860,1001904043
2021-06-28,257.459290,464.028320,249.189270,444.556305,444.556305,2217097285
2021-07-05,444.546234,528.989014,386.992126,435.052032,435.052032,3068015965
2021-07-12,435.788574,443.828522,360.019928,380.275482,380.275482,1509830001
2021-07-19,379.311554,428.294464,310.763794,391.054016,391.054016,1833354439
2021-07-26,391.532562,438.028076,376.677521,410.599548,410.599548,2080239925
2021-08-02,409.617493,512.019104,386.006836,466.721130,466.721130,2116122342
2021-08-09,466.912415,498.009918,440.659515,489.446075,489.446075,1563573910
2021-08-16,489.153412,528.944641,419.745758,460.365326,460.365326,2002696851
2021-08-23,459.961151,484.255615,390.923431,418.890442,418.890442,1378495249
2021-08-30,418.825775,524.598389,406.044312,509.799103,509.799103,1976558873
2021-09-06,510.931793,528.323792,358.532013,403.068573,403.068573,1669234275
2021-09-13,403.607483,459.162262,363.388641,392.982147,392.982147,1246304892
2021-09-20,393.106934,393.831940,304.699860,352.991577,352.991577,1173445941
2021-09-27,354.987030,375.039642,281.844269,326.435730,326.435730,1626166711
2021-10-04,326.510315,335.589874,288.385498,304.540619,304.540619,1406822421
2021-10-11,304.197144,330.262390,287.628204,311.072815,311.072815,974937878
2021-10-18,310.884552,335.201416,299.313477,308.694336,308.694336,996745373
2021-10-25,308.670593,358.845154,296.866882,345.840607,345.840607,1798232423
2021-11-01,345.919952,400.247070,326.327972,362.891937,362.891937,1748428950
2021-11-08,363.084229,370.819427,311.549377,346.555450,346.555450,1073290152
2021-11-15,346.337830,354.006958,287.497437,305.347687,305.347687,1005862927
2021-11-22,305.185364,305.328583,271.409973,277.412628,277.412628,457633939
2021-11-25,277.411743,282.349182,275.295074,279.383820,279.383820,131029424
